model, model name, e_c_0_0, e_c_1_2_0, e_c_1_0, e_c_0_1, e_c_1_1, e_c_2_0, e_c_0_2, a2_c_0_0, a2_c_1_2_0, a2_c_1_0, a2_c_0_1, a2_c_1_1, a2_c_2_0, a2_c_0_2, a4_c_0_0, a4_c_1_2_0, a4_c_1_0, a4_c_0_1, a4_c_1_1, a4_c_2_0, a4_c_0_2
1, slow-eliptical-fit, 0, 1.089, 0.168, 0, -0.685, -0.802, 0, -1.013, 0, -0.312, 0, 0.930, -1.596, 0, 0.016, 0, 0.301, 0, -1.261, 2.728, 0
2, fast-eliptical-fit, 0.251, 0, 0.935, 0.709, 0.030, -0.472, -2.427, -1.265, 0, 0.220, 2.651, 1.010, -1.815, -7.657, 0.556, 0, -1.465, -4.260, -2.327, 4.921, 12.98
